student_id,name,age,course_name,category,lead_score,priority_tier,counsellor_action
1b13ee4d-cae5-4825-a92a-803db71e8eff,Sherry Perez,44.0,Statistics for ML,Data Science,97.4,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
fb273989-03c1-4963-9683-4fba64cfb410,Regina Wade,36.0,Advanced Penetration Testing,Cybersecurity,96.7,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
172ae67b-b335-4ab1-a2a7-129c734989ff,Ms. Heather Rodriguez,48.0,Cybersecurity Fundamentals,Cybersecurity,96.5,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
c21536ae-1a48-43fe-903b-639a999ad1ca,Alejandra Mcdonald,32.0,Advanced Penetration Testing,Cybersecurity,96.5,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
cb86c3a3-84a6-4277-a5db-e6654ad26b6f,Victoria Joyce,32.0,React and Redux,Web Development,96.5,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
7dd34e05-2561-4c2c-9508-23e99b3bfab8,Thomas Taylor PhD,29.0,React and Redux,Web Development,96.5,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
055e5a37-529d-4b70-8804-9dcf2c416194,Phillip Thompson,23.0,Certified Ethical Hacker (CEH),Cybersecurity,96.5,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
b87e67b0-c812-4d95-b96c-94e25ce6ff32,Zachary Hoover,47.0,Full Stack Web Development,Web Development,96.5,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
35fdcb34-bf37-49cf-82bc-dcb40e54e5d9,Alexander Bailey,39.0,Backend APIs with Node.js,Web Development,96.3,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
d53f886d-517b-4261-826e-445804947a6f,Andrew Evans,46.0,Computer Vision with OpenCV,AI,96.1,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
053ffaa8-0e88-4fc1-959d-8f7d70cb855b,Linda Perez,21.0,Data Science Bootcamp,Data Science,96.1,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
9bab3fc6-90ec-4ca2-b032-c72b7d1c97d8,Melanie Chavez,27.0,JavaScript Mastery,Web Development,96.1,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
c7e8ee74-dfc9-4ac0-a66e-6bf4c3bcab5e,Samantha Garza,49.0,Data Science Bootcamp,Data Science,96.0,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
bdb4501c-2ca6-475c-9586-a9f3d5ccd949,Angela Adams,47.0,Data Science Bootcamp,Data Science,96.0,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
7cab7a84-44ef-4031-bba9-9dc7e31706ce,Tracy Schwartz,36.0,Python for Data Science,Data Science,95.9,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
749f64a3-319f-492d-946d-2d99e1cb514a,Jason Dunlap,19.0,Data Science Bootcamp,Data Science,95.9,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
81f3e865-32aa-4065-9b03-56e0d2750e82,Cory Smith,38.0,Python for Data Science,Data Science,95.9,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
d824a9cc-1c6b-486e-bea1-9de6f9e0a8dd,Brandon Olsen,41.0,Advanced Penetration Testing,Cybersecurity,95.7,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
0790210e-2134-4b50-ae18-8560b053e0bc,Douglas Smith,29.0,Deep Learning with TensorFlow,Data Science,95.7,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
0610c544-2a9b-4c5f-bb3e-cce967981374,William Beasley,30.0,React and Redux,Web Development,95.7,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
c37fd7b2-8d70-4583-b431-288dc97158b3,Michelle Martinez,28.0,Neural Networks from Scratch,AI,95.6,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
e25afbb6-2906-45da-b95d-9150e302c271,Joe Nash,40.0,Certified Ethical Hacker (CEH),Cybersecurity,95.6,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
656b6dfb-a04c-4d11-8a40-40d2e91bd0eb,Gregg Franklin,21.0,Statistics for ML,Data Science,95.6,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
eb833920-3948-484a-9e1e-fe5ef1ce9c46,Christopher Gonzales,45.0,Certified Ethical Hacker (CEH),Cybersecurity,95.5,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
92309692-53e6-414c-a2c1-df6899dbf361,Elizabeth Gordon,46.0,Google Cloud Fundamentals,Cloud Computing,95.4,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
f232f84b-0fea-4049-b0e7-4a03cc8fb33d,Kelly Duke,49.0,JavaScript Mastery,Web Development,95.4,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
08cb4931-8c21-4403-a360-3517cac5b2d5,Jamie White,20.0,NLP with Transformers,AI,95.4,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
e66f943a-a6d7-4f87-bd02-c1a1ef4fce3a,Kyle Martin,42.0,Data Science Bootcamp,Data Science,95.3,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
3dbc73fb-4caa-4923-bc8b-586a913df866,James Orozco,35.0,Certified Ethical Hacker (CEH),Cybersecurity,95.2,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
707d7591-7b8d-484a-8a46-c06805069e3f,Alicia Miller,49.0,Statistics for ML,Data Science,95.2,P1_HOT,Direct Outbound Call / Priority WhatsApp Offer
